料理名,料理名[読み],エネルギー[100キロカロリー毎],たんぱく質[100キロカロリー毎],脂質[100キロカロリー毎],炭水化物[100キロカロリー毎],g合計
ごはん（中茶碗1杯）,ごはん（なかぢゃわん1ぱい）,168.0,2.5,0.3,37.1,150.0
麦ごはん,むぎごはん,354.3,6.1,1.0,77.1,70.0
きのこたっぷり混ぜご飯,きのこたっぷりまぜごはん,145.8,3.1,1.1,29.2,210.5
五目炊き込みご飯,ごもくたきこみごはん,152.7,5.6,1.3,28.4,203.7
赤飯,せきはん,190.8,4.0,0.7,42.1,151.5
いなり寿司,いなりずし,173.6,4.1,4.6,27.2,179.2
巻き寿司,まきずし,136.3,3.5,1.5,26.5,295.0
ちらし寿司,ちらしずし,144.8,4.3,1.5,27.3,315.6
親子丼,おやこどん,132.5,5.7,1.8,22.1,502.0
カツ丼,かつどん,194.2,6.8,7.0,24.0,447.0
牛丼,ぎゅうどん,206.9,3.7,8.5,26.7,422.0
天丼,てんどん,189.4,10.0,3.7,27.2,386.0
中華丼,ちゅうかどん,185.3,7.8,5.1,25.4,401.0
カレーライス（ビーフ）,かれーらいす（びーふ）,176.0,4.0,6.2,24.8,501.0
オムライス,おむらいす,155.6,5.3,4.3,22.7,383.0
炒飯,いりめし ちゃーはん,177.0,4.7,6.0,24.4,400.0
きな粉もち（1個）,きなこもち（1こ）,264.2,7.7,3.3,49.8,59.8
磯辺焼き（1個）,いそべやき（1こ）,225.9,5.0,0.7,48.0,54.0
卵野菜サンドイッチ,たまごやさいさんどいっち,176.6,4.9,11.3,13.6,147.2
卵サンドイッチ,たまごさんどいっち,271.4,8.8,18.5,16.7,112.0
チーズ野菜サンドイッチ,ちーずやさいさんどいっち,160.5,7.3,9.0,12.5,162.0
ツナサンドイッチ,つなさんどいっち,271.9,8.8,19.5,15.2,124.3
トースト（食パン6枚切り1枚）,とーすと（しょくぱん6まいきり1まい）,263.3,9.3,4.3,46.7,60.0
バタートースト（食パン6枚切り1枚）,ばたーとーすと（しょくぱん6まいきり1まい）,307.6,8.5,11.4,42.4,66.0
いちごジャムトースト（食パン6枚切り1枚）,いちごじゃむとーすと（しょくぱん6まいきり1まい）,261.7,7.0,3.3,51.0,81.0
ピザトースト（食パン6枚切り1枚）,ぴざとーすと（しょくぱん6まいきり1まい）,202.0,10.3,8.1,21.6,148.0
フレンチトースト（食パン6枚切り1枚）,ふれんちとーすと（しょくぱん6まいきり1まい）,184.3,6.6,7.7,21.7,165.5
チーズトースト（食パン6枚切り1枚）,ちーずとーすと（しょくぱん6まいきり1まい）,285.8,13.3,10.7,33.4,85.0
クリームパン（1個）,くりーむぱん（1こ）,305.0,10.3,10.8,41.3,60.0
あんぱん（1個）,あんぱん（1こ）,280.0,7.9,5.3,50.2,100.0
ジャムパン（1個）,じゃむぱん（1こ）,297.0,6.6,5.8,54.5,100.0
チョココロネ（1個）,ちょこころね（1こ）,307.5,5.0,11.9,45.1,80.0
かけうどん,かけうどん,55.3,1.5,0.2,10.9,588.0
わかめうどん,わかめうどん,53.8,1.5,0.2,10.6,608.0
きつねうどん,きつねうどん,71.2,2.3,1.7,10.6,626.0
肉うどん,にくうどん,70.2,2.4,1.4,10.5,711.0
やまかけうどん,やまかけうどん,59.4,1.7,0.2,11.8,638.0
